idx,label,scale,Longitude,Latitude,idx2,date,cropland,trees,grasses,shrubs,water,other,desc
300,Rangelands/shrublands,,37.05039745930,-1.48846435915,219,11-Jun-14,,,,100,,,
204,Shrubladns/rangelands,,37.10584707830,-1.51349806374,220,11-Jun-14,,,,100,,,
205,Rainfed-SC-maize-LS,"m-50,sh-30,gr-10,",37.11393159320,-1.52744658150,221,11-Jun-14,70,10,,20,,,
300,Rainfed-SC-maize-LS,,37.12012871290,-1.53682600591,222,11-Jun-14,95,2.5,,,,2.5,
207,Rainfed-SC-maize-LS,,37.16568591720,-1.53716098535,223,11-Jun-14,97,1,,,,2,
208,Rainfed-SC-maize-LS,"M-70, T-20,oers",37.23737151810,-1.51153505795,224,11-Jun-14,96,,,,,4,
208,Rainfed-SC-maize-LS,"M-50,Sh-20,T-20,Gr-10",37.25479888650,-1.55028158040,225,11-Jun-14,90,5,,,,5,
209,Rainfed-SC-maize/pigeionpea-LS,"M-40,Pi-10,sh-40,g-10",37.24932990840,-1.60138761241,226,11-Jun-14,98,,,,,2,
211,Rainfed-SC-maize-LS,"m-50,Sh-30",37.23847961770,-1.64835382915,227,11-Jun-14,95,2,,,,3,
211,Shrublands/trees/hills,,37.28383529270,-1.67042877936,228,11-Jun-14,,,,100,,,
212,Rainfed-SC-maize-LS/hills,"M-60,Sh-20,",37.29116269210,-1.66662595180,229,11-Jun-14,80,5,,,15,,
300,Rainfed-SC-maize/pigeonpea-LS,,37.31546368780,-1.67924020907,230,11-Jun-14,90,5,,,,5,
213,Rainfed-SC-maize-MS,"M-60,S/T/G-40",37.35839848740,-1.70818160841,231,11-Jun-14,60,10,10,20,,,
214,Rainfed-SC-maize-MS,"M-50,S/T/G-50",37.39031845480,-1.71474825019,232,11-Jun-14,50,20,10,20,,,
217,Rainfed-SC-maize-LS,"M-50,S/T/G-50",37.42476070830,-1.71596590562,233,11-Jun-14,70,10,10,10,,,
300,Rainfed-SC-maize/pigeonpea,,37.44876980550,-1.74673272790,234,11-Jun-14,95,2,,,,3,
300,Rainfed-SC-maize/pigeonpea-MS,,37.51043349870,-1.76677980734,235,11-Jun-14,90,5,,,,5,
300,Rainfed-SC-maize/pigeonpea,,37.54759786990,-1.77052356961,236,11-Jun-14,90,5,,,,5,
220,Rainfed-SC-maize/pigeonpea-MS,"M-40,Pi-20,Sh/G/T-",37.62659410860,-1.80003412901,237,11-Jun-14,96,2,,,,2,
222,Rainfed-SC-maize/pigeonpea-SS,,37.65615727060,-1.84960636024,238,11-Jun-14,99,,,,,1,
223,Rainfed-SC-pigeonpea_LS,Icrisatsite,37.66400248090,-1.85190652661,239,11-Jun-14,100,,,,,,
