idx,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,BQA,amplitude,phase,class,croptype 
260,0.115716547,302.8920898,302.1086426,0.098626405,0.089524671,0.084758632,0.225018755,0.237497345,0.171822309,0.086507902,0.001818869,20480,0.123974918,2.897006793,0,Others
261,0.141273901,301.037262,298.8226624,0.123631932,0.110219583,0.102972865,0.269271493,0.244246766,0.120706953,0.116146766,0.001427935,20480,0.088407927,2.281658714,0,Others
262,0.11854881,304.6416626,302.5751648,0.098432682,0.086831339,0.073039256,0.264394134,0.198802948,0.125344425,0.081041709,0.001253498,20480,0.036396448,1.470491912,0,Others
263,0.108763978,304.5510254,303.7131653,0.088657275,0.072135136,0.058244392,0.217437506,0.195619404,0.121416137,0.065916225,0.00157227,20512,0.085092745,2.346121677,0,Others
264,0.10954605,304.6547241,303.3208618,0.092537165,0.081021555,0.075349957,0.162090272,0.186598927,0.1307033,0.077218309,0.001549794,20496,0.143331149,1.892446922,1,Sugarcane
265,0.110015064,301.8414917,300.6544189,0.088630348,0.07660313,0.055285562,0.24799639,0.176949888,0.099228472,0.06517157,0.001341826,20512,0.113680805,-1.363177527,0,Others
266,0.118026152,302.7787476,301.0648193,0.099345274,0.089639381,0.079665065,0.24891302,0.208110511,0.116051808,0.082064956,0.00155799,20480,0.096651448,2.038666235,0,Others
267,0.127513334,307.1723633,305.0599976,0.111393854,0.103914946,0.108037867,0.246341094,0.297662973,0.222179592,0.100545481,0.001411504,20480,0.078122895,3.073426782,1,Sugarcane
268,0.156586185,306.2494202,304.117157,0.136603624,0.117463708,0.109302163,0.258424968,0.285531461,0.201470301,0.108339146,0.001661195,20480,0.068801774,2.18161015,0,Others
269,0.144077599,302.8977356,300.7374573,0.123837702,0.118189357,0.099563271,0.278634459,0.255121946,0.140694395,0.105234027,0.001143113,20480,0.12133867,1.545414547,0,Others
270,0.12310221,300.5973511,298.9723816,0.103180148,0.093437918,0.078718528,0.257023871,0.202175379,0.115524806,0.083764777,0.001365761,20480,0.075364543,0.161840143,1,Sugarcane
271,0.137783319,303.6754456,301.4007874,0.118864186,0.117588788,0.114449948,0.301528126,0.255670309,0.163313612,0.11749538,0.001793121,20480,0.076332251,1.673045547,0,Others
