description,idx,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12,QA10,QA20,QA60,Cropland,Longitude,croptype,desc,invalid
,2268,1768,1680,2108,3168,3370,3915,4291,3962,4579,801,18,5161,4139,,,,,9.991622319,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2266,1691,1612,1952,2818,2904,3530,4019,3668,4288,723,18,4658,3526,,,,,10.03601402,Orchard,Irrigated-orchards (Olive)/Barren/potatos-DC-SS,0
,2264,1567,1449,1611,1723,2220,3615,4219,3983,4551,746,21,3629,2420,,,,,10.02825846,Orchard,Irrigated-orchards (Olive/Amendier)/Barren-DC-SS,0
,2265,1820.5,1720,2069,2614,2799,3308,3624,3311,3815,647,19,4044,3081,,,,,10.04050044,Orchard,Rainfed-orchards (Olive)-SC-LS,0
,2263,1749,1714,2072,2555,2790,3567,3948,3681,4160,678,22,4296,3003,,,,,10.04761691,Orchard,Irrigated-orchards (Olive)-SC-LS,0
,2276,1604,1404.5,1477.5,1642.5,1807.5,2703,3157,2932,3471,674,13.5,2956,1985.5,,,,10,9.506720185,Orchard,Irrigated-orchards (Olive)/vegtebales (pototes)-DC-SS,0
,2275,1812.5,1730.5,2081,2607,2755,3312,3657,3417,3887.5,746,16,4248,3193,,,,15,9.475659804,Orchard,Irrigated-orchards (Olive)/Barren-SC-LS,0
,2278,1571.5,1354.5,1503.5,1756,2020.5,2859.5,3379,3120.5,3638,679.5,13,3154,2154.5,,,,,9.480367528,Orchard,Irrigated-orchards (Olive)/Barley - DC-SS,0
,2277,1539,1399.5,1581,1989,2164,2864.5,3241.5,3150.5,3570,679.5,15,3653.5,2618,,,,,9.488723588,Orchard,Irrigated-orchards (Olive)/Vetebles(Potato)-SC-LS,0
,2170,1606,1471.5,1658.5,2004.5,2215.5,2572.5,2894.5,2622.5,3129,663.5,19,3991.5,3063,,,,,9.348675191,Non-cropland,Shrubland(Cactus),0
,2169,1676.5,1499.5,1634.5,1983.5,2072.5,2406.5,2665.5,2483.5,2927,655.5,15.5,3495.5,2593.5,,,,0,9.333870413,Non-cropland,Shrub land (rosmarinus/other vegetation,0
,2167,1480.5,1291,1342,1546,1638,1894,2098,1923.5,2187,429,11.5,2449.5,1762.5,,,,60,9.376016656,Non-cropland,Shrub land (cactus inerme) - MS,0
,2168,1837.5,1815,2137.5,2800,2917.5,3263.5,3591.5,3325.5,3853,785.5,16.5,4676,3657.5,,,,0,9.408786259,Non-cropland,Grassland (esparto)-LS,0
,2271,1907,1860.5,2040.5,2469.5,2570,3008.5,3315.5,3206,3537,860.5,47,3767,2732.5,,,2048,15,9.412590854,Orchard,Irrigated-orchards (Olive)/Barren-SC-LS,0
,2166,2166,2814,3232,3693.5,3728.5,4049.5,4337.5,4266,4458,1110,121,4786,3808.5,,,2048,10,9.425803372,Non-cropland,Grassland-LS,0
,2091,1978,2469.5,2376.5,2459,2493.5,2636.5,2583,3162.5,2715,919,307,3010,2028,,,2048,76,9.447803728,Barley/Wheat,Irrigated-Wheat-SC-SS,0
,2272,1887,1863,2142,3086.5,3082.5,3402.5,3680.5,3420,3857,744.5,17.5,4105.5,3309,,,,70,9.372401321,Orchard,Irrigated-orchards (Olive)/vegtebales-DC-SS,0
,2274,1750,1533,1753.5,2162,2337,3021,3483,3282.5,3724,889.5,72.5,3671,2806.5,,,2048,,9.36682127,Orchard,Irrigated-orchards (Olive)/vegtebales (Garlic)-DC-SS,0
,2273,2080,2147,2468.5,3190.5,3272,3612.5,3911,3628,4041,837,132,4378,3521,,,2048,,9.365157037,Orchard,Irrigated-orchards (Olive)/Barren-SC-MS,0
,2165,2052.5,2016.5,2461.5,3174.5,3345.5,3667.5,4007,3681.5,4236,837.5,17,4675.5,3423.5,,,,0,9.604289035,Non-cropland,Grassland (Halophyte),0
