idx,B3,B4,B5,crop,nd,slope,type
872,0.16305174,0.19243588,0.32174748,0,-0.024101514,2.4839895,Non-Crop
873,0.10857494,0.07149574,0.05642686,0,-0.0702434,0,Non-Crop
874,0.18963683,0.21002738,0.37474325,1,0.002106129,0.92740995,Crop
875,0.15287225,0.18577048,0.35282192,1,-0.021181267,2.492179,Crop
876,0.1938013,0.23070246,0.36116678,1,-0.018829774,1.4790248,Crop
877,0.22449823,0.24692279,0.4091588,0,0.003121008,7.466531,Non-Crop
878,0.1320274,0.13812165,0.24960357,0,-0.04503914,16.419655,Non-Crop
879,0.20200048,0.24451607,0.33577773,0,-0.00976426,6.5196176,Non-Crop
880,0.12944587,0.14224346,0.25130016,0,-0.043626066,4.6878223,Non-Crop
881,0.1983068,0.267001,0.43531063,1,0.001030276,1.4812309,Crop
882,0.17187859,0.21818832,0.36149198,1,-0.02937879,1.4825804,Crop
883,0.13901609,0.15538046,0.28381872,0,-0.045653466,6.8552947,Non-Crop
884,0.15315032,0.18156591,0.3810955,1,-0.022496907,1.4819517,Crop
885,0.11690769,0.11213021,0.24215288,0,-0.06484319,5.373069,Non-Crop
886,0.15858945,0.16430272,0.3160993,0,-0.030844161,13.693345,Non-Crop
887,0.114118665,0.12280902,0.24473801,0,-0.057426933,4.76812,Non-Crop
888,0.14274184,0.16766886,0.3157467,1,-0.033540387,6.0035076,Crop
889,0.16308951,0.19354837,0.3205674,0,-0.024214413,1.4787747,Non-Crop
890,0.1864608,0.22365804,0.3599004,1,-0.010099658,2.49287,Crop
891,0.15565637,0.18288028,0.31932107,0,-0.030960198,4.356312,Non-Crop
892,0.14900288,0.15821773,0.31560564,1,-0.03833418,0.92740995,Crop
893,0.18838872,0.23524241,0.38742113,1,-0.011891382,7.3163285,Crop
894,0.17884915,0.20624591,0.35906112,1,-0.006861277,1.4787554,Crop
895,0.1774484,0.21558683,0.27122426,1,-0.03447459,1.4751021,Crop
896,0.18287596,0.22022384,0.3548581,0,-0.018508278,6.464861,Non-Crop
897,0.1503887,0.17906924,0.30447948,1,-0.029338418,1.156986,Crop
898,0.17523989,0.19959016,0.33459657,1,-0.008286908,0.92740995,Crop
899,0.1810234,0.20287873,0.32866704,0,-0.019798426,6.856003,Non-Crop
900,0.20702502,0.23669933,0.3356252,1,-0.018151276,1.4754835,Crop
901,0.18133408,0.20857595,0.356377,0,-0.013983434,5.764059,Non-Crop
902,0.24507199,0.29548442,0.41438645,1,0.014434822,0.92740995,Crop
903,0.19521399,0.22001386,0.37206155,0,-0.006506518,2.4850993,Non-Crop
